date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:47	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Jan%202026%2005:44:47%20GMT	https://htmldemo.net/robots.txt		(from )
09:44:47	277283/277283	---MCZ	200	added ('OK')	text/html	etag:%2263bba9d7-43b23%22	https://htmldemo.net/autima/autima/index-3.html	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/index-3.html	(from )
09:44:48	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263bbaa2c-47e%22	https://htmldemo.net/autima/autima/assets/img/favicon.ico	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/img/favicon.ico	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:49	3405/3405	---MCZ	200	added ('OK')	text/css	etag:%2263bba9fa-d4d%22	https://htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/owl.carousel.min.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:49	1556/1556	---MCZ	200	added ('OK')	text/css	etag:%2263bba9fb-614%22	https://htmldemo.net/autima/autima/assets/css/slick.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/slick.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:49	194859/194859	---MCZ	200	added ('OK')	text/css	etag:%2263bba9f6-2f92b%22	https://htmldemo.net/autima/autima/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/bootstrap.min.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:50	5666/5666	---MCZ	200	added ('OK')	text/css	etag:%2263bba9fa-1622%22	https://htmldemo.net/autima/autima/assets/css/magnific-popup.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/magnific-popup.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:50	30896/30896	---MCZ	200	added ('OK')	text/css	etag:%2263bba9f6-78b0%22	https://htmldemo.net/autima/autima/assets/css/font.awesome.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/font.awesome.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:50	51315/51315	---MCZ	200	added ('OK')	text/css	etag:%2263bba9f8-c873%22	https://htmldemo.net/autima/autima/assets/css/ionicons.min.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/ionicons.min.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:51	75626/75626	---MCZ	200	added ('OK')	text/css	etag:%2263bba9f4-1276a%22	https://htmldemo.net/autima/autima/assets/css/animate.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/animate.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:44:51	21334/21334	---MCZ	200	added ('OK')	text/css	etag:%2263bba9f8-5356%22	https://htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/jquery-ui.min.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:45:11	1944/1944	---MC-	502	error ('Bad%20Gateway')	text/html	date:Sat,%2017%20Jan%202026%2005:45:12%20GMT	https://htmldemo.net/autima/autima/assets/css/slinky.menu.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/slinky.menu.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:45:11	20471/20471	---MCZ	200	added ('OK')	text/css	etag:%2263bba9fb-4ff7%22	https://htmldemo.net/autima/autima/assets/css/plugins.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/plugins.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:45:21	8601/8601	---MCZ	200	added ('OK')	application/javascript	etag:%2263bbab21-2199%22	https://htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/js/vendor/modernizr-3.7.1.min.js	(from https://htmldemo.net/autima/autima/index-3.html)
09:45:22	209131/209131	---MCZ	200	added ('OK')	text/css	etag:%2263bba9fe-330eb%22	https://htmldemo.net/autima/autima/assets/css/style.css	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/assets/css/style.css	(from https://htmldemo.net/autima/autima/index-3.html)
09:45:23	43578/43578	---MCZ	200	added ('OK')	text/html	etag:%2263bba9e0-aa3a%22	https://htmldemo.net/autima/autima/my-account.html	C:/My%20Web%20Sites/New1%20Project/htmldemo.net/autima/autima/my-account.html	(from https://htmldemo.net/autima/autima/index-3.html)
